level,qt,sample_size,ssi,ssi_n,ssi_nd
DeSO,1,4713,0.037454532384429154,0.6038420907414017,0.0298119082908489
DeSO,1,198916,0.037454532384429154,0.6038420907414017,0.0298119082908489
DeSO,2,4713,0.0345035149002549,0.5935466281553372,0.02355452044395297
DeSO,2,198916,0.08997521244667533,0.5878801696421418,0.064439292727543
DeSO,3,4713,0.03361716400184584,0.6070232465696785,0.01925709298909402
DeSO,3,198916,0.1394469755737089,0.5822515788423412,0.09915880847301789
DeSO,4,4713,0.032831679938427664,0.5953622715385563,0.02053548162778286
DeSO,4,198916,0.17701912162936906,0.5853748544232982,0.12837699722058732
DeSO,5,4713,0.031435294527561476,0.6089774907912391,0.01770691349951103
DeSO,5,198916,0.2069677194434395,0.5838843463675283,0.15290800930785475
DeSO,6,4713,0.03070957253149495,0.6166029884722101,0.01736083503715639
DeSO,6,198916,0.22905396338577194,0.5783009385348463,0.17371594708519117
DeSO,7,4713,0.0308863053989735,0.6218131564581124,0.01319402593113578
DeSO,7,198916,0.2457356835666736,0.5692875455458069,0.19304107275903332
DeSO,8,4713,0.031817980060543774,0.6380672911676855,0.01638249030418333
DeSO,8,198916,0.2615074861799022,0.5582162093481824,0.21278916179214358
DeSO,9,4713,0.03285051839580651,0.6183495578105244,0.016101576178643655
DeSO,9,198916,0.27532506066869333,0.5498986898594578,0.2312709090575389
DeSO,10,4713,0.031055703351265625,0.6266263568680362,0.015740974692290348
DeSO,10,198916,0.2867175774501951,0.5413165723502922,0.2490245641862536
Municipality,1,4713,0.7319165270764141,0.7904427460648148,0.5338380789615418
Municipality,1,198916,0.7319165270764141,0.7904427460648147,0.5338380789615418
Municipality,2,4713,0.7395199015945353,0.7995115342598262,0.5189644486210918
Municipality,2,198916,0.7940030499601052,0.8263238392696107,0.6406795318708823
Municipality,3,4713,0.732945827759351,0.8010918717563917,0.507334340859841
Municipality,3,198916,0.8114028942340027,0.8349203240197653,0.6784889055313961
Municipality,4,4713,0.7288922924142929,0.799882459125715,0.49664472409848753
Municipality,4,198916,0.8174013247106546,0.8372673135953725,0.6944360070366453
Municipality,5,4713,0.7196570665586387,0.7880228253794417,0.4896206213017789
Municipality,5,198916,0.8208872326604526,0.8369500848096468,0.7058932529132274
Municipality,6,4713,0.7206574797170457,0.7892912542503053,0.479816990256355
Municipality,6,198916,0.8197741633303255,0.834175297234254,0.7109287160186343
Municipality,7,4713,0.7199397204816722,0.7943410187565405,0.4825237177475932
Municipality,7,198916,0.8202554831878351,0.8324721580998296,0.7159400119566163
Municipality,8,4713,0.7117524567511431,0.793801232470182,0.46136898545685806
Municipality,8,198916,0.8189773962330544,0.829484314695422,0.7181612229096326
Municipality,9,4713,0.7113669607670163,0.7889003326362498,0.4744193385062437
Municipality,9,198916,0.8175990727908057,0.8265128078724896,0.7195471949251795
Municipality,10,4713,0.6977992431875752,0.7677378089639473,0.4373707205558399
Municipality,10,198916,0.8171284916960175,0.8244132744396636,0.7185459582890221
