uid,work,dist2work_wt,work_group
fe1ba891-2420-4130-8910-6b571b611068,2,4.159353602738872,"(4.075, 5.004]"
63a032fe-686d-46e1-847e-442283de122f,1,3.869828142854279,"(3.856, 4.075]"
03f953a0-2bdd-4cd6-89bf-578f615c54c2,20,3.7989182099916423,"(3.691, 3.856]"
76df8ece-4a32-46ab-9928-58588290c618,4,3.6637876643454392,"(3.578, 3.691]"
47e268e6-a42d-46d9-a7e8-c447e82a5f46,1,3.4958570776613143,"(3.454, 3.578]"
c1c8a616-1efe-4ac6-bda4-31b0c415783f,2,3.4091307602031864,"(3.28, 3.454]"
bb3a2ca9-c967-4c93-854b-cab3025aaac3,1,3.0628840496465433,"(3.053, 3.28]"
6896b74b-83d8-446c-b1e8-850e54e44c38,1,2.812155321510671,"(2.741, 3.053]"
007a6124-81e8-42e6-b8cc-661f6a442d59,2,2.5972462612681753,"(2.272, 2.741]"
aa38cfbf-ec72-4797-b83c-78f5b2626ea1,1,2.067388922506585,"(0.407, 2.272]"
